contest_id,year,election_type,contest_name,position,name,name_raw,demographic_flags,is_woman,is_post92,is_academic_related,outcome,first_preferences,source
2007|UK national|UCU - (Further Education) London and East,2007,UK national,UCU - (Further Education) London and East,UCU - (Further Education) London and East,Mr Sean Vernell,Mr Sean Vernell,,False,False,False,Elected,387.0,pdf
2007|UK national|UCU - (Further Education) London and East,2007,UK national,UCU - (Further Education) London and East,UCU - (Further Education) London and East,Mr Jim Thakoordin,Mr Jim Thakoordin,,False,False,False,Not Elected,136.0,pdf
2007|UK national|UCU - (Further Education) London and East,2007,UK national,UCU - (Further Education) London and East,UCU - (Further Education) London and East,Mr Peter Friend,Mr Peter Friend,,False,False,False,Not Elected,154.0,pdf
2007|UK national|UCU - (Further Education) London and East,2007,UK national,UCU - (Further Education) London and East,UCU - (Further Education) London and East,Mr David Armstrong,Mr David Armstrong,,False,False,False,Not Elected,216.0,pdf
2007|UK national|UCU - (Further Education) London and East,2007,UK national,UCU - (Further Education) London and East,UCU - (Further Education) London and East,Mrs Sheila Deare,Mrs Sheila Deare,,False,False,False,Elected,213.0,pdf
2007|UK national|UCU - Midlands,2007,UK national,UCU - Midlands,UCU - Midlands,Mr Mario Michalski,Mr Mario Michalski,,False,False,False,Not Elected,143.0,pdf
2007|UK national|UCU - Midlands,2007,UK national,UCU - Midlands,UCU - Midlands,Mr James Eaden,Mr James Eaden,,False,False,False,Elected,272.0,pdf
2007|UK national|UCU - Midlands,2007,UK national,UCU - Midlands,UCU - Midlands,Ms Caroline Gray,Ms Caroline Gray,,False,False,False,Elected,304.0,pdf
2007|UK national|UCU - Midlands,2007,UK national,UCU - Midlands,UCU - Midlands,Ms Helen Bowler,Ms Helen Bowler,,False,False,False,Not Elected,121.0,pdf
2007|UK national|UCU-FE-North East,2007,UK national,UCU-FE-North East,UCU-FE-North East,Ms Julie Kelley,Ms Julie Kelley,,False,False,False,Not Elected,275.0,pdf
2007|UK national|UCU-FE-North East,2007,UK national,UCU-FE-North East,UCU-FE-North East,Mr Howard Miles,Mr Howard Miles,,False,False,False,Elected,293.0,pdf
2007|UK national|UCU-FE-North East,2007,UK national,UCU-FE-North East,UCU-FE-North East,Mr Jon Bryan,Mr Jon Bryan,,False,False,False,Elected,362.0,pdf
2007|UK national|UCU-FE-South,2007,UK national,UCU-FE-South,UCU-FE-South,Ms Lynne Chamberlain,Ms Lynne Chamberlain,,False,False,False,Not Elected,214.0,pdf
2007|UK national|UCU-FE-South,2007,UK national,UCU-FE-South,UCU-FE-South,Mr Stephen Reid,Mr Stephen Reid,,False,False,False,Elected,349.0,pdf
2007|UK national|UCU-FE-South,2007,UK national,UCU-FE-South,UCU-FE-South,Ms Margaret George,Ms Margaret George,,False,False,False,Elected,301.0,pdf
