contest_id,year,election_type,contest_name_raw,contest_name,position,date,seats,valid_votes,invalid_votes,quota,election_rules,has_stv_rounds,source,source_pdf
2007|UK national|UCU - (Further Education) London and East,2007,UK national,UCU - (Further Education) London and East,UCU - (Further Education) London and East,UCU - (Further Education) London and East,7/3/07,2,1106,13,368.67,ERS97,True,pdf,data/raw/2007/pdfs/felondonandeast_ucuelctns07_1.pdf
2007|UK national|UCU - Midlands,2007,UK national,UCU - Midlands,UCU - Midlands,UCU - Midlands,7/3/07,2,840,11,280,ERS97,True,pdf,data/raw/2007/pdfs/femidlands_ucuelctns07_1.pdf
2007|UK national|UCU-FE-North East,2007,UK national,UCU-FE-North East,UCU-FE-North East,UCU-FE-North East,7/3/07,2,930,4,310,ERS97,True,pdf,data/raw/2007/pdfs/fenortheast_ucuelctns07_1.pdf
2007|UK national|UCU-FE-South,2007,UK national,UCU-FE-South,UCU-FE-South,UCU-FE-South,7/3/07,2,864,7,288,ERS97,True,pdf,data/raw/2007/pdfs/fesouth_ucuelctns07_1.pdf
2007|UK national|UCU - (Higher Education) London and East,2007,UK national,UCU - (Higher Education) London and East,UCU - (Higher Education) London and East,UCU - (Higher Education) London and East,7/3/07,3,1928,56,469.5,ERS97,True,pdf,data/raw/2007/pdfs/helondonandeast_ucuelctns07_1.pdf
2007|UK national|UCU-HE-Midlands,2007,UK national,UCU-HE-Midlands,UCU-HE-Midlands,UCU-HE-Midlands,7/3/07,2,1411,16,470.34,ERS97,True,pdf,data/raw/2007/pdfs/hemidlands_ucuelctns07_1.pdf
2007|UK national|UCU - North East,2007,UK national,UCU - North East,UCU - North East,UCU - North East,7/3/07,3,1710,22,427.5,ERS97,True,pdf,data/raw/2007/pdfs/henortheast_ucuelctns07_1.pdf
2007|UK national|UCU - North West,2007,UK national,UCU - North West,UCU - North West,UCU - North West,7/3/07,2,1120,18,340.67,ERS97,True,pdf,data/raw/2007/pdfs/henorthwest_ucuelctns07_1.pdf
2007|UK national|UCU - South,2007,UK national,UCU - South,UCU - South,UCU - South,7/3/07,3,2008,38,492,ERS97,True,pdf,data/raw/2007/pdfs/hesouth_ucuelctns07_1.pdf
2007|UK national|UCU-President-elect FE,2007,UK national,UCU-President-elect FE,UCU-President-elect FE,UCU-President-elect FE,7/3/07,1,12152,4563,6076,ERS97,True,pdf,data/raw/2007/pdfs/pres-electfe_ucuelctns07_1.pdf
2007|UK national|UCU-President-elect HE,2007,UK national,UCU-President-elect HE,UCU-President-elect HE,UCU-President-elect HE,7/3/07,1,13090,3625,6024.5,ERS97,True,pdf,data/raw/2007/pdfs/pres-electhe_ucuelctns07_1.pdf
2007|UK national|UCU-Trustees,2007,UK national,UCU-Trustees,UCU-Trustees,UCU-Trustees,7/3/07,4,13109,3606,2560.4,ERS97,True,pdf,data/raw/2007/pdfs/trustees_ucuelctns07_1.pdf
2007|UK national|UCU - NEC-Further Education,2007,UK national,UCU - NEC-Further Education,UCU - NEC-Further Education,UCU - NEC-Further Education,7/3/07,10,4245,175,385.91,ERS97,True,pdf,data/raw/2007/pdfs/ukfe_ucuelctns07_1.pdf
2007|UK national|UCU - NEC-Higher Education,2007,UK national,UCU - NEC-Higher Education,UCU - NEC-Higher Education,UCU - NEC-Higher Education,7/3/07,14,8745,743,583,ERS97,True,pdf,data/raw/2007/pdfs/ukhe_ucuelctns07_1.pdf
2007|UK national|UCU-Women-FE,2007,UK national,UCU-Women-FE,UCU-Women-FE,UCU-Women-FE,7/3/07,2,9159,7556,3053,ERS97,True,pdf,data/raw/2007/pdfs/womenfe_ucuelctns07_1.pdf
2007|UK national|UCU-Women-HE,2007,UK national,UCU-Women-HE,UCU-Women-HE,UCU-Women-HE,7/3/07,3,9393,7322,2348.25,ERS97,True,pdf,data/raw/2007/pdfs/womenhe_ucuelctns07_1.pdf
2009|UK national|UCU-Further Education UK,2009,UK national,UCU-Further Education UK,UCU-Further Education UK,UCU-Further Education UK,05/03/2009,5,3503,26,= 583.84,Custom,True,pdf,data/raw/2009/pdfs/elect09_feukcount.pdf
2009|UK national|UCU-Higher Education-North West,2009,UK national,UCU-Higher Education-North West,UCU-Higher Education-North West,UCU-Higher Education-North West,05/03/2009,2,780,10,260,ERS97,True,pdf,data/raw/2009/pdfs/elect09_henwcount.pdf
2009|UK national|UCU-Higher Education-South,2009,UK national,UCU-Higher Education-South,UCU-Higher Education-South,UCU-Higher Education-South,05/03/2009,3,1475,9,368.75,ERS97,True,pdf,data/raw/2009/pdfs/elect09_hesouthcount.pdf
2009|UK national|UCU-Higher Education UK,2009,UK national,UCU-Higher Education UK,UCU-Higher Education UK,UCU-Higher Education UK,05/03/2009,7,6569,65,810.75,Custom,True,pdf,data/raw/2009/pdfs/elect09_heukcount.pdf
2009|UK national|UCU-Vice-President,2009,UK national,UCU-Vice-President,UCU-Vice-President,UCU-Vice-President,05/03/2009,1,10593,278,5165,ERS97,True,pdf,data/raw/2009/pdfs/elect09_vicepresidentcount.pdf
2010|UK national|UK-elected FE,2010,UK national,UK-elected FE,UK-elected FE,UK-elected FE,05/03/2010,4,3755,20,751,Custom,True,pdf,data/raw/2010/pdfs/elect10_countFEUK.pdf
2010|UK national|North East FE,2010,UK national,North East FE,North East FE,North East FE,05/03/2010,2,736,4,245.34,ERS97,True,pdf,data/raw/2010/pdfs/elect10_countFEnortheast.pdf
2010|UK national|UK-elected HE,2010,UK national,UK-elected HE,UK-elected HE,UK-elected HE,17/03/2010,6,6936,89,990.86,,True,pdf,data/raw/2010/pdfs/elect10_countHEUK.pdf
2010|UK national|UCU-London and East HE,2010,UK national,UCU-London and East HE,UCU-London and East HE,UCU-London and East HE,17/03/2010,3,1928,57,482,,True,pdf,data/raw/2010/pdfs/elect10_countHElondoneast.pdf
2010|UK national|North East HE,2010,UK national,North East HE,North East HE,North East HE,05/03/2010,3,1092,9,273,ERS97,True,pdf,data/raw/2010/pdfs/elect10_countHEnortheast.pdf
2010|UK national|Women Members HE,2010,UK national,Women Members HE,Women Members HE,Women Members HE,05/03/2010,3,10554,894,2638.5,ERS97,True,pdf,data/raw/2010/pdfs/elect10_countwomenHE.pdf
2011|UK national|Black Members Rep,2011,UK national,Black Members Rep,Black Members Rep,Black Members Rep,04/03/2010,1,12123,2468,6061.5,ERS97,True,pdf,data/raw/2011/pdfs/elections2011_bmem_report_from_doc.pdf
2011|UK national|Disabled Members Rep,2011,UK national,Disabled Members Rep,Disabled Members Rep,Disabled Members Rep,04/03/2010,1,12826,1765,6413,ERS97,True,pdf,data/raw/2011/pdfs/elections2011_dismem_report_from_doc.pdf
2011|UK national|Higher Education South Members,2011,UK national,Higher Education South Members,Higher Education South Members,Higher Education South Members,04/03/2010,3,1957,82,489.25,ERS97,True,pdf,data/raw/2011/pdfs/elections2011_hesouth_report_from_doc.pdf
2011|UK national|UK Higher Education NEC Members,2011,UK national,UK Higher Education NEC Members,UK Higher Education NEC Members,UK Higher Education NEC Members,04/03/2010,7,9052,473,1131.5,ERS97,True,pdf,data/raw/2011/pdfs/elections2011_heuk_report_from_doc.pdf
2011|UK national|Vice President,2011,UK national,Vice President,Vice President,Vice President,04/03/2010,1,13942,649,6971,ERS97,True,pdf,data/raw/2011/pdfs/elections2011_hevp_report_from_doc.pdf
2011|UK national|LGBT Members Rep,2011,UK national,LGBT Members Rep,LGBT Members Rep,LGBT Members Rep,04/03/2010,1,12666,1925,6333,ERS97,True,pdf,data/raw/2011/pdfs/elections2011_lgbtmem_report_from_doc.pdf
2011|UK national|UCU Scotland Honorary Secretary NEC,2011,UK national,UCU Scotland Honorary Secretary NEC,UCU Scotland Honorary Secretary NEC,UCU Scotland Honorary Secretary NEC,04/03/2010,1,970,55,485,ERS97,True,pdf,data/raw/2011/pdfs/elections2011_ucushonsec_report_from_doc.pdf
2011|UK national|UCU Scotland President NEC,2011,UK national,UCU Scotland President NEC,UCU Scotland President NEC,UCU Scotland President NEC,04/03/2010,1,945,80,472.5,ERS97,True,pdf,data/raw/2011/pdfs/elections2011_ucuspres_report_from_doc.pdf
2012|UK national|London and East FE,2012,UK national,London and East FE,London and East FE,London and East FE,01/03/2012,2,860,61,= 286.67 Annie Holder ELECTED,ERS97,True,pdf,data/raw/2012/pdfs/Count_FE_London_and_East.pdf
2012|UK national|North East FE,2012,UK national,North East FE,North East FE,North East FE,01/03/2012,2,681,55,= 227.00 Vote required for election now: 226.33,ERS97,True,pdf,data/raw/2012/pdfs/Count_FE_North_East.pdf
2012|UK national|North West - Casual Vacancy,2012,UK national,North West - Casual Vacancy,North West - Casual Vacancy,North West - Casual Vacancy,01/03/2012,1,465,59,= 232.50,ERS97,True,pdf,data/raw/2012/pdfs/Count_FE_North_West.pdf
2012|UK national|NEC,2012,UK national,NEC,NEC,NEC,2,2,3525,391,503.58,Custom,True,pdf,data/raw/2012/pdfs/Count_FE_UK_elected.pdf
2012|UK national|Representatives of Women in FE,2012,UK national,Representatives of Women in FE,Representatives of Women in FE,Representatives of Women in FE,01/03/2012,2,11086,3959,= 3695.34 1179 papers non-transferable.,ERS97,True,pdf,data/raw/2012/pdfs/Count_FE_womens_reps.pdf
2012|UK national|London and East HE,2012,UK national,London and East HE,London and East HE,London and East HE,01/03/2012,2,1872,192,374.4,Custom,True,pdf,data/raw/2012/pdfs/Count_HE_London_and_East.pdf
2012|UK national|Northern Ireland HE,2012,UK national,Northern Ireland HE,Northern Ireland HE,Northern Ireland HE,01/03/2012,1,275,5,= 137.50,ERS97,True,pdf,data/raw/2012/pdfs/Count_HE_NI.pdf
2012|UK national|North East HE,2012,UK national,North East HE,North East HE,North East HE,01/03/2012,3,1386,112,346.5,ERS97,True,pdf,data/raw/2012/pdfs/Count_HE_North_East.pdf
