year,name_canonical,position,sector,role_type,elected_year
2007,Sean Vernell,"NEC Members, London and the East, FE",FE,regional,2007
2007,Sheila Deare,"NEC Members, London and the East, FE",FE,regional,2007
2007,Jane Hardy,"NEC Members, London and the East, HE",HE,regional,2007
2007,Jill Jones,"NEC Members, London and the East, HE",HE,regional,2007
2007,Simon Renton,"NEC Members, London and the East, HE",HE,regional,2007
2007,Caroline Gray,"NEC Members, Midlands, FE",FE,regional,2007
2007,James Eaden,"NEC Members, Midlands, FE",FE,regional,2007
2007,Anne-marie Greene,"NEC Members, Midlands, HE",HE,regional,2007
2007,Neil Williamson,"NEC Members, Midlands, HE",HE,regional,2007
2007,Howard Miles,"NEC Members, North East, FE",FE,regional,2007
2007,Jon Bryan,"NEC Members, North East, FE",FE,regional,2007
2007,Elizabeth Lawrence,"NEC Members, North East, HE",HE,regional,2007
2007,Gavin Reid,"NEC Members, North East, HE",HE,regional,2007
2007,Jeff Fowler,"NEC Members, North East, HE",HE,regional,2007
2007,Karen Evans,"NEC Members, North West, FE",FE,regional,2007
2007,Roger Brooks,"NEC Members, North West, FE",FE,regional,2007
2007,Margaret George,"NEC Members, South, FE",FE,regional,2007
2007,Stephen Reid,"NEC Members, South, FE",FE,regional,2007
2007,Bevis Miller,"NEC Members, South, HE",HE,regional,2007
2007,Jim Guild,"NEC Members, South, HE",HE,regional,2007
2007,Tom Hickey,"NEC Members, South, HE",HE,regional,2007
2007,Alliya Stennett,"UK NEC Members, FE",FE,uk_nec,2007
2007,Bernice Waugh,"UK NEC Members, FE",FE,uk_nec,2007
2007,Brian Ingham,"UK NEC Members, FE",FE,uk_nec,2007
2007,Helen Bowler,"UK NEC Members, FE",FE,uk_nec,2007
2007,Jim Thakoordin,"UK NEC Members, FE",FE,uk_nec,2007
2007,John Muirhead,"UK NEC Members, FE",FE,uk_nec,2007
2007,Kathy Taylor,"UK NEC Members, FE",FE,uk_nec,2007
2007,Keith Mallinson,"UK NEC Members, FE",FE,uk_nec,2007
2007,Lynne Chamberlain,"UK NEC Members, FE",FE,uk_nec,2007
2007,Sam Allen,"UK NEC Members, FE",FE,uk_nec,2007
2007,Alastair Hunter,President-elect,HE,vp_chain,2007
2007,Sasha Callaghan,President-elect,FE,vp_chain,2007
2007,Maire Daley,"Representatives of Women Members, FE",FE,women,2007
2007,Pat Roche,"Representatives of Women Members, FE",FE,women,2007
2007,Jean Harrison,"Representatives of Women Members, HE",HE,women,2007
2007,Mary Davis,"Representatives of Women Members, HE",HE,women,2007
2007,Susan Birch,"Representatives of Women Members, HE",HE,women,2007
2008,Alastair Hunter,President,HE,vp_chain,2007
2008,Sasha Callaghan,President,FE,vp_chain,2007
