contest_id,year,name,round,votes,transfer,eliminated
2007|UK national|UCU - (Further Education) London and East,2007,Mr Sean Vernell,1,387.0,,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr Sean Vernell,2,368.67,-18.33,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr Sean Vernell,3,368.67,368.67,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr Jim Thakoordin,1,136.0,,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr Jim Thakoordin,2,139.1,3.1,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr Jim Thakoordin,3,,,True
2007|UK national|UCU - (Further Education) London and East,2007,Mr Peter Friend,1,154.0,,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr Peter Friend,2,159.6,5.6,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr Peter Friend,3,203.5,43.9,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr Peter Friend,4,6.5,-197.0,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr David Armstrong,1,216.0,,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr David Armstrong,2,222.65,6.65,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr David Armstrong,3,251.0,28.35,False
2007|UK national|UCU - (Further Education) London and East,2007,Mr David Armstrong,4,329.0,78.0,False
2007|UK national|UCU - (Further Education) London and East,2007,Mrs Sheila Deare,1,213.0,,False
2007|UK national|UCU - (Further Education) London and East,2007,Mrs Sheila Deare,2,215.1,2.1,False
2007|UK national|UCU - (Further Education) London and East,2007,Mrs Sheila Deare,3,266.95,51.85,False
2007|UK national|UCU - (Further Education) London and East,2007,Mrs Sheila Deare,4,345.95,79.0,False
2007|UK national|UCU - Midlands,2007,Mr Mario Michalski,1,143.0,,False
2007|UK national|UCU - Midlands,2007,Mr Mario Michalski,2,150.52,7.52,False
2007|UK national|UCU - Midlands,2007,Mr James Eaden,1,272.0,,False
2007|UK national|UCU - Midlands,2007,Mr James Eaden,2,279.2,7.2,False
2007|UK national|UCU - Midlands,2007,Ms Caroline Gray,1,304.0,,False
2007|UK national|UCU - Midlands,2007,Ms Caroline Gray,2,280.0,-24.0,False
2007|UK national|UCU - Midlands,2007,Ms Helen Bowler,1,121.0,,False
2007|UK national|UCU - Midlands,2007,Ms Helen Bowler,2,127.96,6.96,False
2007|UK national|UCU-FE-North East,2007,Ms Julie Kelley,1,275.0,,False
2007|UK national|UCU-FE-North East,2007,Ms Julie Kelley,2,306.11,31.11,False
2007|UK national|UCU-FE-North East,2007,Mr Howard Miles,1,293.0,,False
2007|UK national|UCU-FE-North East,2007,Mr Howard Miles,2,312.55,19.55,False
2007|UK national|UCU-FE-North East,2007,Mr Jon Bryan,1,362.0,,False
2007|UK national|UCU-FE-North East,2007,Mr Jon Bryan,2,310.0,-52.0,False
2007|UK national|UCU-FE-South,2007,Ms Lynne Chamberlain,1,214.0,,False
2007|UK national|UCU-FE-South,2007,Mr Stephen Reid,1,349.0,,False
2007|UK national|UCU-FE-South,2007,Ms Margaret George,1,301.0,,False
2007|UK national|UCU - (Higher Education) London and East,2007,Ms Jill Jones,1,457.0,,False
2007|UK national|UCU - (Higher Education) London and East,2007,Ms Jill Jones,2,469.0,12.0,False
2007|UK national|UCU - (Higher Education) London and East,2007,Ms Jill Jones,3,558.0,89.0,False
2007|UK national|UCU - (Higher Education) London and East,2007,Ms Jill Jones,4,469.5,-88.5,False
2007|UK national|UCU - (Higher Education) London and East,2007,Ms Dorothy Wright,1,86.0,,False
2007|UK national|UCU - (Higher Education) London and East,2007,Ms Dorothy Wright,2,,,True
2007|UK national|UCU - (Higher Education) London and East,2007,Ms Dorothy Wright,3,,,True
2007|UK national|UCU - (Higher Education) London and East,2007,Mr Simon Renton,1,430.0,,False
2007|UK national|UCU - (Higher Education) London and East,2007,Mr Simon Renton,2,450.0,20.0,False
2007|UK national|UCU - (Higher Education) London and East,2007,Mr Simon Renton,3,532.0,82.0,False
2007|UK national|UCU - (Higher Education) London and East,2007,Mr Simon Renton,4,,532.0,False
2007|UK national|UCU - (Higher Education) London and East,2007,Ms Jane Hardy,1,348.0,,False
2007|UK national|UCU - (Higher Education) London and East,2007,Ms Jane Hardy,2,368.0,20.0,False
2007|UK national|UCU - (Higher Education) London and East,2007,Ms Jane Hardy,3,420.0,52.0,False
