cluster_id,proposed_canonical,name_canonical,n_appearances,years,outcomes,page_urls,similarity
1,Richard McEwan,Richard McEwan,7,"2010, 2012, 2017, 2018, 2019, 2019-20, 2023-24","Elected, Not Elected",https://www.ucu.org.uk/article/2901/Officer-and-national-executive-committee-elections-2010 | https://www.ucu.org.uk/article/6145/National-executive-committee-casual-vacancy-2012 | https://www.ucu.org.uk/article/8964/UCU-Scotland-elections-2017 | https://www.ucu.org.uk/article/7228/UCU-national-officer-and-national-executive-committee-elections-2018 | https://www.ucu.org.uk/article/8447/UCU-Scotland-elections-2019 | https://www.ucu.org.uk/article/10339/UCU-trustee-national-officer-and-national-executive-committee-elections-in-2019-20-election-results | https://www.ucu.org.uk/elections-2023-24,1.0000
1,Richard McEwan,Richard McEwan ),1,2021-22,Uncontested,https://www.ucu.org.uk/article/11791/UCU-trustee-officer-and-NEC-elections-in-2021-22-results,0.9333
2,Regine Pilling,Regine Pilling,5,"2023-24, 2025-26","Elected, Not Elected, Withdrawn",https://www.ucu.org.uk/elections-2023-24 | https://www.ucu.org.uk/article/14191/UCU-UK-elections-2025-26,1.0000
2,Regine Pilling,Regine Pilling ),1,2021-22,Uncontested,https://www.ucu.org.uk/article/11791/UCU-trustee-officer-and-NEC-elections-in-2021-22-results,0.9333
3,Chris O'Donnell,Chris O'Donnell,4,"2019-20, 2020-21","Elected, Not Elected",https://www.ucu.org.uk/article/10339/UCU-trustee-national-officer-and-national-executive-committee-elections-in-2019-20-election-results | https://www.ucu.org.uk/ucus-elections,1.0000
3,Chris O'Donnell,Chris O’donnell,1,2023,Not Elected,https://www.ucu.org.uk/article/12530/UCU-Scotland-elections-in-2023-results,0.8667
4,Joanna De Groot,Joanna De Groot,4,"2018, 2021-22, 2024-25","Elected, Withdrawn",https://www.ucu.org.uk/article/7228/UCU-national-officer-and-national-executive-committee-elections-2018 | https://www.ucu.org.uk/article/11791/UCU-trustee-officer-and-NEC-elections-in-2021-22-results | https://www.ucu.org.uk/ucuscotland-elections,1.0000
4,Joanna De Groot,Joanna de Groot,3,"2010, 2012, 2019-20",Elected,https://www.ucu.org.uk/article/2901/Officer-and-national-executive-committee-elections-2010 | https://www.ucu.org.uk/article/6145/National-executive-committee-casual-vacancy-2012 | https://www.ucu.org.uk/article/10339/UCU-trustee-national-officer-and-national-executive-committee-elections-in-2019-20-election-results,0.9333
5,Neil Macfarlane,Neil MacFarlane,1,2021-22,Elected,https://www.ucu.org.uk/article/11791/UCU-trustee-officer-and-NEC-elections-in-2021-22-results,0.9333
5,Neil Macfarlane,Neil Macfarlane,4,"2007, 2012","Elected, Not Elected, Withdrawn",https://www.ucu.org.uk/ucuselections | https://www.ucu.org.uk/article/6145/National-executive-committee-casual-vacancy-2012,1.0000
6,Dharminder Singh Chuhan,Dharminder Chuhan,1,2020-21,Not Elected,https://www.ucu.org.uk/ucus-elections,0.8500
6,Dharminder Singh Chuhan,Dharminder Singh Chuhan,3,"2021-22, 2023-24, 2024-25","Elected, Not Elected",https://www.ucu.org.uk/article/11791/UCU-trustee-officer-and-NEC-elections-in-2021-22-results | https://www.ucu.org.uk/elections-2023-24 | https://www.ucu.org.uk/ucuscotland-elections,1.0000
7,Dominique Lauterburg,Dominique Lauterberg,2,"2013, 2017","Elected, Not Elected",https://www.ucu.org.uk/article/6664/UCU-national-executive-casual-vacancy-2013 | https://www.ucu.org.uk/article/8964/UCU-Scotland-elections-2017,0.9500
7,Dominique Lauterburg,Dominique Lauterburg,3,"2010, 2012, 2014",Elected,https://www.ucu.org.uk/article/2901/Officer-and-national-executive-committee-elections-2010 | https://www.ucu.org.uk/article/6145/National-executive-committee-casual-vacancy-2012 | https://www.ucu.org.uk/article/6769/Officer-and-national-executive-committee-elections-2014,1.0000
8,Jo McNeill,Jo McNeil,3,"2015, 2019, 2019-20","Elected, Not Elected",https://www.ucu.org.uk/article/7620/Trustee-officer-and-national-executive-committee-elections-2015 | https://www.ucu.org.uk/article/8447/UCU-Scotland-elections-2019 | https://www.ucu.org.uk/article/10339/UCU-trustee-national-officer-and-national-executive-committee-elections-in-2019-20-election-results,0.9474
8,Jo McNeill,Jo McNeill,3,"2013, 2017, 2019","Elected, Not Elected",https://www.ucu.org.uk/article/6664/UCU-national-executive-casual-vacancy-2013 | https://www.ucu.org.uk/article/8964/UCU-Scotland-elections-2017 | https://www.ucu.org.uk/article/8447/UCU-Scotland-elections-2019,1.0000
9,Matilda Fitzmaurice,Matilda Fitzmaurice,3,"2019-20, 2023, 2024-25","Elected, Not Elected",https://www.ucu.org.uk/article/10339/UCU-trustee-national-officer-and-national-executive-committee-elections-in-2019-20-election-results | https://www.ucu.org.uk/article/12530/UCU-Scotland-elections-in-2023-results | https://www.ucu.org.uk/ucuscotland-elections,1.0000
9,Matilda Fitzmaurice,Matilda Fiztmaurice,1,2023,Elected,https://www.ucu.org.uk/article/12530/UCU-Scotland-elections-in-2023-results,0.9474
10,Ümit Yildiz,Umit Yildiz,2,2007,Not Elected,https://www.ucu.org.uk/ucuselections,0.9091
10,Ümit Yildiz,Ümit Yildiz,3,"2012, 2014",Not Elected,https://www.ucu.org.uk/article/6145/National-executive-committee-casual-vacancy-2012 | https://www.ucu.org.uk/article/6769/Officer-and-national-executive-committee-elections-2014,1.0000
11,Lesley McIntosh,Lesley C McIntosh,1,2011,Elected,https://www.ucu.org.uk/article/5074/Officer-and-national-executive-committee-elections-2011,0.9375
11,Lesley McIntosh,Lesley McIntosh,2,2007,"Not Elected, Withdrawn",https://www.ucu.org.uk/ucuselections,1.0000
12,Pat Hornby Atkinson,Pat Hornby Atkinson,2,"2013, 2014","Elected, Not Elected",https://www.ucu.org.uk/article/6664/UCU-national-executive-casual-vacancy-2013 | https://www.ucu.org.uk/article/6769/Officer-and-national-executive-committee-elections-2014,1.0000
12,Pat Hornby Atkinson,Patricia Hornby Atkinson,1,2019,Not Elected,https://www.ucu.org.uk/article/8447/UCU-Scotland-elections-2019,0.8837
13,Paul Blackledge,Paul Blackledge,2,"2013, 2014",Elected,https://www.ucu.org.uk/article/6664/UCU-national-executive-casual-vacancy-2013 | https://www.ucu.org.uk/article/6769/Officer-and-national-executive-committee-elections-2014,1.0000
13,Paul Blackledge,Paul Blacklegde,1,2014,Withdrawn,https://www.ucu.org.uk/article/6769/Officer-and-national-executive-committee-elections-2014,0.9333
14,Monica Goligher,B Monica Goligher,1,2009,Not Elected,https://www.ucu.org.uk/article/4194/Officer-and-national-executive-committee-elections-2009,0.9375
14,Monica Goligher,Monica Goligher,1,2012,Elected,https://www.ucu.org.uk/article/6145/National-executive-committee-casual-vacancy-2012,1.0000
15,Bruce E. Baker,Bruce Baker,1,2019,Elected,https://www.ucu.org.uk/article/8447/UCU-Scotland-elections-2019,0.8800
15,Bruce E. Baker,Bruce E. Baker,1,2019-20,Elected,https://www.ucu.org.uk/article/10339/UCU-trustee-national-officer-and-national-executive-committee-elections-in-2019-20-election-results,1.0000
16,Christine Viè,Christine Vie,1,2007,Not Elected,https://www.ucu.org.uk/ucuselections,0.9231
16,Christine Viè,Christine Viè,1,2010,Elected,https://www.ucu.org.uk/article/2901/Officer-and-national-executive-committee-elections-2010,1.0000
17,Matthew J. Barnard,Matthew Barnard,1,2024-25,Not Elected,https://www.ucu.org.uk/ucuscotland-elections,0.9091
17,Matthew J. Barnard,Matthew J. Barnard,1,2025-26,Elected,https://www.ucu.org.uk/article/14191/UCU-UK-elections-2025-26,1.0000
18,Roger M. Walden,Roger M Walden,1,2013,Elected,https://www.ucu.org.uk/article/6664/UCU-national-executive-casual-vacancy-2013,0.9655
18,Roger M. Walden,Roger M. Walden,1,2015,Not Elected,https://www.ucu.org.uk/article/7620/Trustee-officer-and-national-executive-committee-elections-2015,1.0000
