year,contest_name,name_canonical,outcome,demographic_flags,sector,purpose,page_url,BJP Comment,
2011,Black Members Rep,Dave Muritu,Not Elected,man ,FE,affiliation only,https://www.ucu.org.uk/article/5074/Officer-and-national-executive-committee-elections-2011,,
2011,Black Members Rep,Jim Thakoordin,Elected,man,FE,affiliation only,https://www.ucu.org.uk/article/5074/Officer-and-national-executive-committee-elections-2011,,
2022,Representative of migrant members (casual vacancy),Dima Chami,Not Elected,woman,HE,affiliation only,https://www.ucu.org.uk/article/11791/UCU-trustee-officer-and-NEC-elections-in-2021-22-results,,
2022,Representative of migrant members (casual vacancy),Khizer Saeed,Elected,,HE,affiliation only,https://www.ucu.org.uk/article/11791/UCU-trustee-officer-and-NEC-elections-in-2021-22-results,,
2022,Representative of migrant members (casual vacancy),Stephen Desmond,Not Elected,man,HE,affiliation only,https://www.ucu.org.uk/article/11791/UCU-trustee-officer-and-NEC-elections-in-2021-22-results,,
2019,Representatives of Black Members,Maxine Looby,Elected,woman,FE,affiliation only,https://www.ucu.org.uk/article/9677/UCU-national-officer-and-national-executive-committee-elections-in-2019,,
2019,Representatives of Black Members,Muritu,Not Elected,man ,FE,affiliation only,https://www.ucu.org.uk/article/9677/UCU-national-officer-and-national-executive-committee-elections-in-2019,Same as Dave Muritu,
2019,Representatives of Black Members,Naina Kent,Not Elected,woman,FE,affiliation only,https://www.ucu.org.uk/article/9677/UCU-national-officer-and-national-executive-committee-elections-in-2019,,
2019,Representatives of Black Members,Victoria Showunmi,Elected,woman,HE,affiliation only,https://www.ucu.org.uk/article/9677/UCU-national-officer-and-national-executive-committee-elections-in-2019,,
2025,Representatives of Black Members,Nitin Rajyaguru,Not Elected,woman,FE,affiliation only,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2025,Representatives of Black Members,Pauline Rattery,Elected,woman,FE,affiliation only,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2025,Representatives of Black Members,Victoria Showunmi,Elected,woman,HE,affiliation only,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2025,Representatives of Migrant Members,Ariane Bogain,Elected,woman,HE,affiliation only,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2025,Representatives of Migrant Members,Bruno Ferreira,Not Elected,man,FE,affiliation only,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2025,Representatives of Migrant Members,Patricia Prieto Blanco,Not Elected,woman,HE,affiliation only,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2013,Representatives of black members,Cecile Wright,Elected,woman ,HE,affiliation only,https://www.ucu.org.uk/article/6338/Officer-and-national-executive-committee-elections-2013,,
2013,Representatives of black members,Dawn Livingston,Elected,woman,FE,affiliation only,https://www.ucu.org.uk/article/6338/Officer-and-national-executive-committee-elections-2013,,
